"","game","round","date","home_team","score","away_team","arena","X"
"1","1","1","20/04/2014 - 18:30","Flamengo - RJ","0 x 0","Goiás - GO","Mané Garrincha - Brasilia - DF",""
"2","2","1","19/04/2014 - 18:30","Fluminense - RJ","3 x 0","Figueirense - SC","Maracanã - Rio de Janeiro - RJ",""
"3","3","1","20/04/2014 - 16:00","São Paulo - SP","3 x 0","Botafogo - RJ","Morumbi - Sao Paulo - SP",""
"4","4","1","20/04/2014 - 18:30","Santos - SP","1 x 1","Sport - PE","Vila Belmiro - Santos - SP",""
"5","5","1","20/04/2014 - 16:00","Atletico - PR","1 x 0","Grêmio - RS","Orlando Scarpelli - Florianopolis - SC",""
"6","6","1","20/04/2014 - 16:00","Atlético - MG","0 x 0","Corinthians - SP","João Havelange - Uberlandia - MG",""
"7","7","1","20/04/2014 - 16:00","Bahia - BA","1 x 2","Cruzeiro - MG","Fonte Nova - Salvador - BA",""
"8","8","1","19/04/2014 - 18:30","Internacional - RS","1 x 0","Vitória - BA","Beira-Rio - Porto Alegre - RS",""
"9","9","1","20/04/2014 - 18:30","Criciuma - SC","1 x 2","Palmeiras - SP","Heriberto Hulse - Criciuma - SC",""
"10","10","1","19/04/2014 - 21:00","Chapecoense - SC","0 x 0","Coritiba - PR","Arena Condá - Chapeco - SC",""
"11","11","2","27/04/2014 - 16:00","Botafogo - RJ","2 x 2","Internacional - RS","Maracanã - Rio de Janeiro - RJ",""
"12","12","2","27/04/2014 - 18:30","Sport - PE","2 x 1","Chapecoense - SC","Ilha do Retiro - Recife - PE",""
"13","13","2","27/04/2014 - 16:00","Corinthians - SP","2 x 0","Flamengo - RJ","Pacaembu - Sao Paulo - SP",""
"14","14","2","26/04/2014 - 21:00","Palmeiras - SP","0 x 1","Fluminense - RJ","Pacaembu - Sao Paulo - SP",""
"15","15","2","26/04/2014 - 18:30","Coritiba - PR","0 x 0","Santos - SP","Couto Pereira - Curitiba - PR",""
"16","16","2","27/04/2014 - 16:00","Cruzeiro - MG","1 x 1","São Paulo - SP","João Havelange - Uberlandia - MG",""
"17","17","2","27/04/2014 - 16:00","Vitória - BA","2 x 2","Atletico - PR","Pituaçu - Salvador - BA",""
"18","18","2","27/04/2014 - 18:30","Grêmio - RS","2 x 1","Atlético - MG","Arena do Grêmio - Porto Alegre - RS",""
"19","19","2","27/04/2014 - 18:30","Figueirense - SC","0 x 2","Bahia - BA","Arena Barueri - Barueri - SP",""
"20","20","2","27/04/2014 - 18:30","Goiás - GO","1 x 0","Criciuma - SC","Juscelino Kubitschek - Itumbiara - GO",""
"21","21","3","04/05/2014 - 16:00","Flamengo - RJ","4 x 2","Palmeiras - SP","Maracanã - Rio de Janeiro - RJ",""
"22","22","3","03/05/2014 - 21:00","Fluminense - RJ","1 x 2","Vitória - BA","Maracanã - Rio de Janeiro - RJ",""
"23","23","3","03/05/2014 - 18:30","São Paulo - SP","2 x 2","Coritiba - PR","Pacaembu - Sao Paulo - SP",""
"24","24","3","03/05/2014 - 18:30","Santos - SP","0 x 0","Grêmio - RS","Vila Belmiro - Santos - SP",""
"25","25","3","03/05/2014 - 18:30","Atletico - PR","2 x 3","Cruzeiro - MG","Mané Garrincha - Brasilia - DF",""
"26","26","3","04/05/2014 - 18:30","Atlético - MG","0 x 1","Goiás - GO","Independência - Belo Horizonte - MG",""
"27","27","3","04/05/2014 - 16:00","Bahia - BA","1 x 0","Botafogo - RJ","Fonte Nova - Salvador - BA",""
"28","28","3","04/05/2014 - 16:00","Internacional - RS","2 x 1","Sport - PE","Beira-Rio - Porto Alegre - RS",""
"29","29","3","04/05/2014 - 16:00","Criciuma - SC","1 x 0","Figueirense - SC","Heriberto Hulse - Criciuma - SC",""
"30","30","3","04/05/2014 - 18:30","Chapecoense - SC","0 x 1","Corinthians - SP","Arena Condá - Chapeco - SC",""
"31","31","4","10/05/2014 - 21:00","Botafogo - RJ","6 x 0","Criciuma - SC","Maracanã - Rio de Janeiro - RJ",""
"32","32","4","11/05/2014 - 16:00","Fluminense - RJ","2 x 0","Flamengo - RJ","Maracanã - Rio de Janeiro - RJ",""
"33","33","4","11/05/2014 - 16:00","São Paulo - SP","1 x 1","Corinthians - SP","Arena Barueri - Barueri - SP",""
"34","34","4","10/05/2014 - 18:30","Palmeiras - SP","2 x 0","Goiás - GO","Pacaembu - Sao Paulo - SP",""
"35","35","4","11/05/2014 - 18:30","Coritiba - PR","0 x 1","Sport - PE","Couto Pereira - Curitiba - PR",""
"36","36","4","11/05/2014 - 16:00","Atlético - MG","2 x 1","Cruzeiro - MG","Independência - Belo Horizonte - MG",""
"37","37","4","11/05/2014 - 18:30","Bahia - BA","1 x 1","Vitória - BA","Fonte Nova - Salvador - BA",""
"38","38","4","10/05/2014 - 18:30","Internacional - RS","2 x 1","Atletico - PR","Beira-Rio - Porto Alegre - RS",""
"39","39","4","11/05/2014 - 18:30","Figueirense - SC","0 x 2","Santos - SP","Do Café - Londrina - PR",""
"40","40","4","11/05/2014 - 16:00","Chapecoense - SC","1 x 2","Grêmio - RS","Arena Condá - Chapeco - SC",""
"41","41","5","18/05/2014 - 16:00","Flamengo - RJ","0 x 2","São Paulo - SP","Maracanã - Rio de Janeiro - RJ",""
"42","42","5","04/06/2014 - 21:00","Sport - PE","1 x 0","Bahia - BA","Ilha do Retiro - Recife - PE",""
"43","43","5","18/05/2014 - 16:00","Corinthians - SP","0 x 1","Figueirense - SC","Arena Corinthians - Sao Paulo - SP",""
"44","44","5","18/05/2014 - 18:30","Santos - SP","1 x 2","Atlético - MG","Arena Pantanal - Cuiaba - MT",""
"45","45","5","18/05/2014 - 16:00","Atletico - PR","1 x 1","Chapecoense - SC","Willie Davids - Maringa - PR",""
"46","46","5","17/05/2014 - 18:30","Cruzeiro - MG","3 x 2","Coritiba - PR","Mineirão - Belo Horizonte - MG",""
"47","47","5","18/05/2014 - 18:30","Vitória - BA","0 x 1","Palmeiras - SP","Pituaçu - Salvador - BA",""
"48","48","5","18/05/2014 - 16:00","Grêmio - RS","1 x 0","Fluminense - RJ","Arena do Grêmio - Porto Alegre - RS",""
"49","49","5","18/05/2014 - 18:30","Criciuma - SC","0 x 0","Internacional - RS","Heriberto Hulse - Criciuma - SC",""
"50","50","5","14/05/2014 - 22:00","Goiás - GO","2 x 0","Botafogo - RJ","Mário Helênio - Juiz de Fora - MG",""
"51","51","6","21/05/2014 - 19:30","Flamengo - RJ","1 x 1","Bahia - BA","Cláudio Moacyr - Macae - RJ",""
"52","52","6","21/05/2014 - 22:00","Fluminense - RJ","5 x 2","São Paulo - SP","Maracanã - Rio de Janeiro - RJ",""
"53","53","6","21/05/2014 - 22:00","Corinthians - SP","1 x 1","Atletico - PR","Canindé - Sao Paulo - SP",""
"54","54","6","22/05/2014 - 19:30","Palmeiras - SP","1 x 0","Figueirense - SC","Fonte Luminosa - Araraquara - SP",""
"55","55","6","21/05/2014 - 19:30","Coritiba - PR","1 x 1","Internacional - RS","Couto Pereira - Curitiba - PR",""
"56","56","6","21/05/2014 - 21:00","Cruzeiro - MG","2 x 0","Sport - PE","Mineirão - Belo Horizonte - MG",""
"57","57","6","22/05/2014 - 21:00","Vitória - BA","2 x 3","Atlético - MG","Jóia da Princesa - Feira de Santana - BA",""
"58","58","6","21/05/2014 - 22:00","Grêmio - RS","2 x 1","Botafogo - RJ","Alfredo Jaconi - Caxias do Sul - RS",""
"59","59","6","21/05/2014 - 21:00","Criciuma - SC","1 x 0","Chapecoense - SC","Heriberto Hulse - Criciuma - SC",""
"60","60","6","22/05/2014 - 19:30","Goiás - GO","2 x 2","Santos - SP","Serra Dourada - Goiania - GO",""
"61","61","7","25/05/2014 - 18:30","Botafogo - RJ","1 x 1","Vitória - BA","Cláudio Moacyr - Macae - RJ",""
"62","62","7","25/05/2014 - 16:00","Sport - PE","1 x 4","Corinthians - SP","Ilha do Retiro - Recife - PE",""
"63","63","7","24/05/2014 - 21:00","São Paulo - SP","1 x 0","Grêmio - RS","Morumbi - Sao Paulo - SP",""
"64","64","7","25/05/2014 - 16:00","Santos - SP","0 x 0","Flamengo - RJ","Morumbi - Sao Paulo - SP",""
"65","65","7","25/05/2014 - 16:00","Atletico - PR","2 x 0","Coritiba - PR","Willie Davids - Maringa - PR",""
"66","66","7","25/05/2014 - 18:30","Atlético - MG","0 x 0","Criciuma - SC","João Lamego - Ipatinga - MG",""
"67","67","7","24/05/2014 - 18:30","Bahia - BA","0 x 1","Fluminense - RJ","Arena Barueri - Barueri - SP",""
"68","68","7","25/05/2014 - 18:30","Internacional - RS","1 x 3","Cruzeiro - MG","Centenário - Caxias do Sul - RS",""
"69","69","7","25/05/2014 - 16:00","Figueirense - SC","0 x 1","Goiás - GO","Orlando Scarpelli - Florianopolis - SC",""
"70","70","7","25/05/2014 - 18:30","Chapecoense - SC","2 x 0","Palmeiras - SP","Arena Condá - Chapeco - SC",""
"71","71","8","29/05/2014 - 19:30","Flamengo - RJ","1 x 1","Figueirense - SC","Morumbi - Sao Paulo - SP",""
"72","72","8","28/05/2014 - 19:30","Sport - PE","0 x 0","Grêmio - RS","Ilha do Retiro - Recife - PE",""
"73","73","8","28/05/2014 - 22:00","Corinthians - SP","1 x 0","Cruzeiro - MG","Canindé - Sao Paulo - SP",""
"74","74","8","28/05/2014 - 19:30","Palmeiras - SP","0 x 2","Botafogo - RJ","Paulo Constantino - Presidente Prudente - SP",""
"75","75","8","28/05/2014 - 22:00","Atletico - PR","2 x 2","São Paulo - SP","João Havelange - Uberlandia - MG",""
"76","76","8","28/05/2014 - 22:00","Atlético - MG","2 x 0","Fluminense - RJ","João Lamego - Ipatinga - MG",""
"77","77","8","29/05/2014 - 21:00","Bahia - BA","0 x 2","Santos - SP","Jóia da Princesa - Feira de Santana - BA",""
"78","78","8","28/05/2014 - 21:00","Internacional - RS","2 x 0","Chapecoense - SC","Centenário - Caxias do Sul - RS",""
"79","79","8","28/05/2014 - 19:30","Criciuma - SC","1 x 0","Coritiba - PR","Heriberto Hulse - Criciuma - SC",""
"80","80","8","28/05/2014 - 21:00","Goiás - GO","0 x 0","Vitória - BA","Serra Dourada - Goiania - GO",""
"81","81","9","11/10/2014 - 18:30","Botafogo - RJ","1 x 0","Corinthians - SP","Arena da Amazônia - Manaus - AM",""
"82","82","9","01/06/2014 - 18:30","Fluminense - RJ","1 x 1","Internacional - RS","Cláudio Moacyr - Macae - RJ",""
"83","83","9","31/05/2014 - 18:30","São Paulo - SP","2 x 1","Atlético - MG","Morumbi - Sao Paulo - SP",""
"84","84","9","01/06/2014 - 18:30","Santos - SP","2 x 0","Criciuma - SC","1º de Maio - Sao Bernardo do Campo - SP",""
"85","85","9","31/05/2014 - 18:30","Coritiba - PR","3 x 0","Goiás - GO","Durival Britto - Curitiba - PR",""
"86","86","9","01/06/2014 - 16:00","Cruzeiro - MG","3 x 0","Flamengo - RJ","João Havelange - Uberlandia - MG",""
"87","87","9","31/05/2014 - 21:00","Vitória - BA","0 x 1","Sport - PE","Jóia da Princesa - Feira de Santana - BA",""
"88","88","9","01/06/2014 - 16:00","Grêmio - RS","0 x 0","Palmeiras - SP","Alfredo Jaconi - Caxias do Sul - RS",""
"89","89","9","01/06/2014 - 18:30","Figueirense - SC","1 x 3","Atletico - PR","Orlando Scarpelli - Florianopolis - SC",""
"90","90","9","01/06/2014 - 16:00","Chapecoense - SC","2 x 1","Bahia - BA","Arena Condá - Chapeco - SC",""
"91","91","10","16/07/2014 - 22:00","Flamengo - RJ","1 x 2","Atletico - PR","Cláudio Moacyr - Macae - RJ",""
"92","92","10","16/07/2014 - 19:30","Sport - PE","1 x 0","Botafogo - RJ","Ilha do Retiro - Recife - PE",""
"93","93","10","17/07/2014 - 19:30","Corinthians - SP","2 x 1","Internacional - RS","Arena Corinthians - Sao Paulo - SP",""
"94","94","10","17/07/2014 - 19:30","Santos - SP","2 x 0","Palmeiras - SP","Vila Belmiro - Santos - SP",""
"95","95","10","16/07/2014 - 19:30","Coritiba - PR","0 x 2","Figueirense - SC","Couto Pereira - Curitiba - PR",""
"96","96","10","17/07/2014 - 21:00","Cruzeiro - MG","3 x 1","Vitória - BA","Mineirão - Belo Horizonte - MG",""
"97","97","10","16/07/2014 - 22:00","Bahia - BA","0 x 2","São Paulo - SP","Fonte Nova - Salvador - BA",""
"98","98","10","16/07/2014 - 19:30","Grêmio - RS","0 x 0","Goiás - GO","Arena do Grêmio - Porto Alegre - RS",""
"99","99","10","16/07/2014 - 22:00","Criciuma - SC","3 x 2","Fluminense - RJ","Heriberto Hulse - Criciuma - SC",""
"100","100","10","06/08/2014 - 21:00","Chapecoense - SC","1 x 1","Atlético - MG","Arena Condá - Chapeco - SC",""
"101","101","11","19/07/2014 - 21:00","Botafogo - RJ","1 x 0","Coritiba - PR","Raulino de Oliveira - Volta Redonda - RJ",""
"102","102","11","20/07/2014 - 18:30","Fluminense - RJ","1 x 0","Santos - SP","Raulino de Oliveira - Volta Redonda - RJ",""
"103","103","11","19/07/2014 - 18:30","São Paulo - SP","0 x 1","Chapecoense - SC","Morumbi - Sao Paulo - SP",""
"104","104","11","20/07/2014 - 16:00","Palmeiras - SP","1 x 2","Cruzeiro - MG","Pacaembu - Sao Paulo - SP",""
"105","105","11","20/07/2014 - 18:30","Atletico - PR","2 x 0","Criciuma - SC","Arena da Baixada - Curitiba - PR",""
"106","106","11","19/07/2014 - 18:30","Atlético - MG","1 x 1","Bahia - BA","Independência - Belo Horizonte - MG",""
"107","107","11","20/07/2014 - 16:00","Vitória - BA","0 x 0","Corinthians - SP","Manoel Barradas - Salvador - BA",""
"108","108","11","20/07/2014 - 16:00","Internacional - RS","4 x 0","Flamengo - RJ","Beira-Rio - Porto Alegre - RS",""
"109","109","11","19/07/2014 - 18:30","Figueirense - SC","0 x 1","Grêmio - RS","Orlando Scarpelli - Florianopolis - SC",""
"110","110","11","20/07/2014 - 18:30","Goiás - GO","0 x 0","Sport - PE","Serra Dourada - Goiania - GO",""
"111","111","12","27/07/2014 - 18:30","Flamengo - RJ","1 x 0","Botafogo - RJ","Maracanã - Rio de Janeiro - RJ",""
"112","112","12","27/07/2014 - 16:00","Sport - PE","2 x 1","Atlético - MG","Ilha do Retiro - Recife - PE",""
"113","113","12","27/07/2014 - 16:00","Corinthians - SP","2 x 0","Palmeiras - SP","Arena Corinthians - Sao Paulo - SP",""
"114","114","12","26/07/2014 - 18:30","Santos - SP","3 x 0","Chapecoense - SC","Vila Belmiro - Santos - SP",""
"115","115","12","27/07/2014 - 16:00","Atletico - PR","0 x 3","Fluminense - RJ","Arena da Baixada - Curitiba - PR",""
"116","116","12","26/07/2014 - 18:30","Cruzeiro - MG","5 x 0","Figueirense - SC","Mineirão - Belo Horizonte - MG",""
"117","117","12","26/07/2014 - 21:00","Bahia - BA","0 x 1","Internacional - RS","Fonte Nova - Salvador - BA",""
"118","118","12","27/07/2014 - 18:30","Grêmio - RS","2 x 3","Coritiba - PR","Arena do Grêmio - Porto Alegre - RS",""
"119","119","12","26/07/2014 - 18:30","Criciuma - SC","1 x 3","Vitória - BA","Heriberto Hulse - Criciuma - SC",""
"120","120","12","27/07/2014 - 16:00","Goiás - GO","2 x 1","São Paulo - SP","Serra Dourada - Goiania - GO",""
"121","121","13","02/08/2014 - 18:30","Botafogo - RJ","1 x 1","Cruzeiro - MG","Maracanã - Rio de Janeiro - RJ",""
"122","122","13","03/08/2014 - 18:30","Fluminense - RJ","2 x 0","Goiás - GO","Maracanã - Rio de Janeiro - RJ",""
"123","123","13","02/08/2014 - 18:30","São Paulo - SP","1 x 1","Criciuma - SC","Morumbi - Sao Paulo - SP",""
"124","124","13","03/08/2014 - 16:00","Palmeiras - SP","1 x 1","Bahia - BA","Pacaembu - Sao Paulo - SP",""
"125","125","13","03/08/2014 - 16:00","Coritiba - PR","0 x 0","Corinthians - SP","Couto Pereira - Curitiba - PR",""
"126","126","13","03/08/2014 - 18:30","Atlético - MG","3 x 1","Atletico - PR","Independência - Belo Horizonte - MG",""
"127","127","13","02/08/2014 - 21:00","Vitória - BA","2 x 1","Grêmio - RS","Manoel Barradas - Salvador - BA",""
"128","128","13","03/08/2014 - 18:30","Internacional - RS","1 x 0","Santos - SP","Beira-Rio - Porto Alegre - RS",""
"129","129","13","03/08/2014 - 16:00","Figueirense - SC","3 x 0","Sport - PE","Orlando Scarpelli - Florianopolis - SC",""
"130","130","13","03/08/2014 - 16:00","Chapecoense - SC","1 x 0","Flamengo - RJ","Arena Condá - Chapeco - SC",""
"131","131","14","10/08/2014 - 16:00","Flamengo - RJ","1 x 0","Sport - PE","Maracanã - Rio de Janeiro - RJ",""
"132","132","14","09/08/2014 - 21:00","Fluminense - RJ","1 x 1","Coritiba - PR","Maracanã - Rio de Janeiro - RJ",""
"133","133","14","10/08/2014 - 18:30","São Paulo - SP","3 x 1","Vitória - BA","Morumbi - Sao Paulo - SP",""
"134","134","14","10/08/2014 - 16:00","Santos - SP","0 x 1","Corinthians - SP","Vila Belmiro - Santos - SP",""
"135","135","14","10/08/2014 - 16:00","Atletico - PR","2 x 0","Botafogo - RJ","Arena da Baixada - Curitiba - PR",""
"136","136","14","10/08/2014 - 18:30","Atlético - MG","2 x 1","Palmeiras - SP","Independência - Belo Horizonte - MG",""
"137","137","14","09/08/2014 - 18:30","Bahia - BA","1 x 0","Goiás - GO","Fonte Nova - Salvador - BA",""
"138","138","14","10/08/2014 - 16:00","Internacional - RS","2 x 0","Grêmio - RS","Beira-Rio - Porto Alegre - RS",""
"139","139","14","09/08/2014 - 18:30","Criciuma - SC","0 x 0","Cruzeiro - MG","Heriberto Hulse - Criciuma - SC",""
"140","140","14","10/08/2014 - 18:30","Chapecoense - SC","0 x 1","Figueirense - SC","Arena Condá - Chapeco - SC",""
"141","141","15","17/08/2014 - 18:30","Botafogo - RJ","2 x 0","Fluminense - RJ","Mané Garrincha - Brasilia - DF",""
"142","142","15","17/08/2014 - 18:30","Sport - PE","1 x 1","Atletico - PR","Ilha do Retiro - Recife - PE",""
"143","143","15","16/08/2014 - 21:00","Corinthians - SP","1 x 1","Bahia - BA","Arena Corinthians - Sao Paulo - SP",""
"144","144","15","17/08/2014 - 16:00","Palmeiras - SP","1 x 2","São Paulo - SP","Pacaembu - Sao Paulo - SP",""
"145","145","15","17/08/2014 - 16:00","Coritiba - PR","0 x 1","Flamengo - RJ","Couto Pereira - Curitiba - PR",""
"146","146","15","17/08/2014 - 16:00","Cruzeiro - MG","3 x 0","Santos - SP","Mineirão - Belo Horizonte - MG",""
"147","147","15","17/08/2014 - 16:00","Vitória - BA","0 x 0","Chapecoense - SC","Manoel Barradas - Salvador - BA",""
"148","148","15","17/08/2014 - 16:00","Grêmio - RS","2 x 0","Criciuma - SC","Arena do Grêmio - Porto Alegre - RS",""
"149","149","15","17/08/2014 - 18:30","Figueirense - SC","2 x 2","Atlético - MG","Orlando Scarpelli - Florianopolis - SC",""
"150","150","15","16/08/2014 - 18:30","Goiás - GO","0 x 1","Internacional - RS","Serra Dourada - Goiania - GO",""
"151","151","16","20/08/2014 - 22:00","Flamengo - RJ","2 x 1","Atlético - MG","Maracanã - Rio de Janeiro - RJ",""
"152","152","16","20/08/2014 - 19:30","Sport - PE","2 x 1","Palmeiras - SP","Arena Pernambuco - Sao Lourenco da Mata - PE",""
"153","153","16","21/08/2014 - 19:30","Corinthians - SP","5 x 2","Goiás - GO","Arena Corinthians - Sao Paulo - SP",""
"154","154","16","20/08/2014 - 19:30","Santos - SP","2 x 0","Atletico - PR","Vila Belmiro - Santos - SP",""
"155","155","16","20/08/2014 - 21:00","Coritiba - PR","2 x 0","Vitória - BA","Couto Pereira - Curitiba - PR",""
"156","156","16","21/08/2014 - 20:30","Cruzeiro - MG","1 x 0","Grêmio - RS","Mineirão - Belo Horizonte - MG",""
"157","157","16","20/08/2014 - 21:00","Bahia - BA","0 x 0","Criciuma - SC","Fonte Nova - Salvador - BA",""
"158","158","16","20/08/2014 - 22:00","Internacional - RS","0 x 1","São Paulo - SP","Beira-Rio - Porto Alegre - RS",""
"159","159","16","20/08/2014 - 19:30","Figueirense - SC","1 x 0","Botafogo - RJ","Orlando Scarpelli - Florianopolis - SC",""
"160","160","16","20/08/2014 - 22:00","Chapecoense - SC","1 x 0","Fluminense - RJ","Arena Condá - Chapeco - SC",""
"161","161","17","23/08/2014 - 18:30","Botafogo - RJ","1 x 0","Chapecoense - SC","Maracanã - Rio de Janeiro - RJ",""
"162","162","17","24/08/2014 - 16:00","Fluminense - RJ","4 x 0","Sport - PE","Maracanã - Rio de Janeiro - RJ",""
"163","163","17","24/08/2014 - 16:00","São Paulo - SP","2 x 1","Santos - SP","Morumbi - Sao Paulo - SP",""
"164","164","17","23/08/2014 - 21:00","Palmeiras - SP","1 x 0","Coritiba - PR","Pacaembu - Sao Paulo - SP",""
"165","165","17","24/08/2014 - 18:30","Atletico - PR","0 x 0","Bahia - BA","Arena da Baixada - Curitiba - PR",""
"166","166","17","23/08/2014 - 18:30","Atlético - MG","1 x 0","Internacional - RS","Independência - Belo Horizonte - MG",""
"167","167","17","24/08/2014 - 16:00","Vitória - BA","0 x 1","Figueirense - SC","Manoel Barradas - Salvador - BA",""
"168","168","17","24/08/2014 - 16:00","Grêmio - RS","2 x 1","Corinthians - SP","Arena do Grêmio - Porto Alegre - RS",""
"169","169","17","24/08/2014 - 16:00","Criciuma - SC","0 x 2","Flamengo - RJ","Heriberto Hulse - Criciuma - SC",""
"170","170","17","24/08/2014 - 18:30","Goiás - GO","0 x 1","Cruzeiro - MG","Serra Dourada - Goiania - GO",""
"171","171","18","31/08/2014 - 16:00","Botafogo - RJ","1 x 0","Santos - SP","Maracanã - Rio de Janeiro - RJ",""
"172","172","18","31/08/2014 - 16:00","Sport - PE","2 x 0","Criciuma - SC","Ilha do Retiro - Recife - PE",""
"173","173","18","31/08/2014 - 16:00","Corinthians - SP","1 x 1","Fluminense - RJ","Arena Corinthians - Sao Paulo - SP",""
"174","174","18","30/08/2014 - 18:30","Palmeiras - SP","0 x 1","Internacional - RS","Pacaembu - Sao Paulo - SP",""
"175","175","18","31/08/2014 - 16:00","Coritiba - PR","0 x 0","Atlético - MG","Couto Pereira - Curitiba - PR",""
"176","176","18","30/08/2014 - 18:30","Cruzeiro - MG","4 x 2","Chapecoense - SC","Mineirão - Belo Horizonte - MG",""
"177","177","18","31/08/2014 - 18:30","Vitória - BA","1 x 2","Flamengo - RJ","Manoel Barradas - Salvador - BA",""
"178","178","18","31/08/2014 - 18:30","Grêmio - RS","1 x 0","Bahia - BA","Arena do Grêmio - Porto Alegre - RS",""
"179","179","18","31/08/2014 - 16:00","Figueirense - SC","1 x 1","São Paulo - SP","Orlando Scarpelli - Florianopolis - SC",""
"180","180","18","31/08/2014 - 18:30","Goiás - GO","3 x 1","Atletico - PR","Serra Dourada - Goiania - GO",""
"181","181","19","06/09/2014 - 18:30","Flamengo - RJ","0 x 1","Grêmio - RS","Maracanã - Rio de Janeiro - RJ",""
"182","182","19","07/09/2014 - 16:00","Fluminense - RJ","3 x 3","Cruzeiro - MG","Maracanã - Rio de Janeiro - RJ",""
"183","183","19","07/09/2014 - 16:00","São Paulo - SP","2 x 0","Sport - PE","Morumbi - Sao Paulo - SP",""
"184","184","19","06/09/2014 - 18:30","Santos - SP","3 x 1","Vitória - BA","Pacaembu - Sao Paulo - SP",""
"185","185","19","07/09/2014 - 18:30","Atletico - PR","1 x 1","Palmeiras - SP","Arena da Baixada - Curitiba - PR",""
"186","186","19","07/09/2014 - 16:00","Atlético - MG","1 x 0","Botafogo - RJ","Independência - Belo Horizonte - MG",""
"187","187","19","07/09/2014 - 18:30","Bahia - BA","0 x 0","Coritiba - PR","Fonte Nova - Salvador - BA",""
"188","188","19","07/09/2014 - 18:30","Internacional - RS","2 x 3","Figueirense - SC","Beira-Rio - Porto Alegre - RS",""
"189","189","19","07/09/2014 - 16:00","Criciuma - SC","0 x 0","Corinthians - SP","Heriberto Hulse - Criciuma - SC",""
"190","190","19","06/09/2014 - 21:00","Chapecoense - SC","0 x 0","Goiás - GO","Arena Condá - Chapeco - SC",""
"191","191","20","10/09/2014 - 22:00","Botafogo - RJ","2 x 4","São Paulo - SP","Mané Garrincha - Brasilia - DF",""
